篇名,大类|相关搜索,相关西医病名,病因病机 ,治法,汤方,中药,,,,,,,,,,,
妇人鬼胎,鬼胎,葡萄胎,,逐秽,荡鬼汤,人参,当归,大黄,雷丸,川牛膝,红花,丹皮,枳壳,厚朴,小桃仁,,
室女鬼胎,鬼胎,葡萄胎,,扶正祛邪（先祛邪而后补正）,荡邪散,雷丸,桃仁,当归,丹皮,甘草,,,,,,,
,,,,,桂香平胃散,肉桂,麝香,苍术,厚朴,广皮,枳实,全当归,川芎,,,,
,,,,,调正汤,白术,苍术,茯苓,陈皮,贝母,薏米,,,,,,
妊娠恶阻,子病,,脾胃虚弱或肝胃不和,平肝和胃，降逆止呕,顺肝益气汤,人参,当归,苏子,白术（炒）,茯苓,熟地,白芍,麦冬,陈皮,砂仁,神曲,
,阻病,,,疏肝理气，调补脾胃，顺降逆气,疏肝化滞汤,全当归,杭芍,党参,白扁豆,云苓,香附,砂仁,条苓（炒焦）,神曲,广皮,薄荷,甘草
妊娠浮肿,子肿,高血压,脾肺气虚,补脾之血与肺之气,加减补中益气汤,人参,黄芪（生用）,柴胡,甘草,当归,白术（炒）,茯苓,升麻,陈皮,,,
妊娠少腹疼,胎动不安,先兆流产,脾肾亏虚，带脉无力,益气补血，双补脾肾,安奠二天汤,人参,熟地,白术（炒）,山药,炙草,山萸,杜仲,枸杞,扁豆,,,
妊娠口干咽疼,胎动不安,,肾水不足，火性炎上,滋肾补肺,润燥安胎汤,熟地,生地,山茱肉,麦冬,五味,阿胶,黄芩,益母,,,,
妊娠吐泻腹疼,胎动不安,,脾胃气虚，肾气不固,健脾补气，益肾安胎,援土固胎汤,人参,白术（炒）,山药,肉桂,制附子,续断,杜仲（炒黑）,山萸,枸杞,菟丝子,砂仁,炙草
妊娠子悬胁疼,胎动不安,,肝气闭郁，郁结不通,开肝气之郁结，补肝血之燥干,解郁汤,人参,白术（炒）,白茯苓,当归,白芍,枳壳,砂仁,山栀子,薄荷,,,
妊娠跌损,胎动不安,,跌扑损伤，气血受损,大补气血，行瘀安胎,救损安胎汤,当归,白芍,生地,白术（炒）,炙草,人参,苏木,乳香,没药,,,
妊娠小便下血病名胎漏,胎漏,,气虚不能摄血,益气摄血，养血安胎,助气补漏汤,人参,白芍,黄芩,生地,益母草,续断,甘草,,,,,
妊娠子鸣,子鸣,妊娠合并心脏病,气虚较甚,大补其气，使母之气与子之气和合,扶气止啼汤,人参,黄芪（生用）麦冬,,当归,橘红,甘草,花粉,,,,,
妊娠腰腹疼渴汗躁狂,胎动不安,,胃火炎炽，熬煎胞胎之水，胎失所养,清泻胃火，滋阴润燥，宁心安神,息焚安胎汤,生地,青蒿,白术（炒）,茯苓,人参,知母,花粉,,,,,
妊娠中恶,胎动不安,,触冒感受秽毒或不正之气,大补气血，扶正祛邪,消恶安胎汤,当归,白芍,白术（炒）,茯苓,人参,甘草,陈皮,花粉,苏叶,沉香,,
妊娠多怒堕胎,胎动不安,,肝火炽盛,补气补血，滋肝壮水,利气泄火汤,人参,白术（炒）,甘草,熟地,当归,白芍,芡实,黄芩,,,,
产后少腹疼,产后腹疼,宫缩痛，产后痛,气血运行不畅，不通则痛（血瘀）,补血活血，祛瘀生新,散结定疼汤,当归,川芎,丹皮,益母草,黑芥穗,乳香,山楂（炒黑）,桃仁,,,,
,,,气血运行不畅，不容则痛（血虚）,补气补血,肠宁汤,当归,熟地,人参,麦冬,阿胶,山药,续断,甘草,肉桂,,,
产后气喘,败血冲肺,羊水栓塞,气血两脱,补气养血，滋补肝肾,救脱活母汤,人参,当归,熟地,枸杞子,山萸,麦冬,阿胶,肉桂,黑芥穗,,,
产后恶寒身颤,,,气血两虚，正不敌邪,调补气血扶正,十全大补汤,人参,白术（炒）,茯苓,甘草（炙）,川芎,当归,熟地,白芍,黄芪（生用）,肉桂,,
产后恶心呕吐,,,胃气寒，肾气寒,温肾健脾，行气止呕,温肾止呕汤,熟地,巴戟,人参,白术（炒）,山萸,炮姜,茯苓,白蔻,橘红,,,
产后血崩,,,不慎房帏,大补气血,救败求生汤,人参,当归,白术（炒）,熟地,山萸,山药,枣仁（生用）,附子,,,,
产后手伤胞胎淋漓不止,胎盘，胞衣，子宫,,气血亏虚，兼外力损伤，导致虚损,补气养血，祛瘀生新，收敛止血,完胞饮,人参,白术（炒）,茯苓,生黄芪,当归,川芎,桃仁,红花,益母草,白及,,
产后四肢浮肿,,,肝肾两虚，阴不出阳,补血以养肝，补精以生血,转气汤,人参,茯苓,白术（炒）,当归,白芍,熟地,山萸,山药,芡实,故纸,柴胡,
产后肉线出,带脉。肾虚腰痛，遗尿,脐带脱垂,带脉无升举约束之力,补任督，补腰脐,两收汤,人参,白术（炒）,川芎,熟地,山药,山萸,芡实,扁豆,巴戟,杜仲（炒黑）,白果,
产后肝痿,残留胎膜随恶露而下,,产前劳役过伤，气血不足，肝血不藏,大补气血，少加升提之品,收膜汤,生黄芪,人参,白术（炒）,白芍,焦当归,升麻,,,,,,
产后气血两虚乳汁不下,乳汁不通,,气血不足,补气以生血,通乳丹,人参,生黄芪,当归,麦冬,木通,桔梗,（七孔猪蹄）,,,,,
产后郁结乳汁不通,乳汁不通,,肝气郁结,大舒肝木之气,通肝生乳汤,白芍,当归,白术（炒）,熟地,甘草,麦冬,通草,柴胡,远志,,,
